clean_sentence,dyslexic_sentence,error_type
එයා බයිරන් නිසා බය වුණා.,එයා බය උනා බයිරන් නිසා.,word_order
ටිකක් ඉවසන්න.,ටිකක් ඉවසන්ඩ,Phonetic (N/Nd)
අද ඉස්කෝලෙ යන්නේ නෑ.,අද ඉස්කොලෙ යන්නෙ නෑ.,grammar
අක්කා ළමයෙක් හම්බෙලා ඉන්නවා.,අක්කා ළමයෙක් හම්බෙලා ඉන්නවා.,no_error
එයා ගොඩක් සතුටින් හිටියා.,එයා ගොඩක් සතුටින් හිටිය,unknown
පොඩි ළමයෙක් ඉන්නවා,පොඩි ළමයෙක් ඉන්නව,Grammar
ඔයා කඩේ යනවද,ඔයා කඩෙ යනවද,grammar
අම්මා එනවා කිව්වා.,අම්ම එනව කිව්ව,Grammar
බල්ලා ගෙදර දිව්වා.,බල්ලා ගෙටර දිව්වා,Visual Scrambling
මම ගිය සතියේ කඩේට ගියා,මං ගිය සතියෙ කඩෙට ගියා,Grammar
හෙට පාසල යනවා,හෙට ස්කෝලෙ යනව,Grammar
සතෙක් ඉන්නවා වගේ.,සතෙක් ඉන්නව වගෙ.,grammar
වළන්ගු කන්න ඕන,වලන්ගු කන්න ඔන,phonetic
පොලිසියේ නඩුව දාන්න,පොලිසියෙ නඩුව දාන්න,grammar
සඳ පායලා.,සද පායලා,Phonetic (N/ND)
මට පොඩි උදව්වක් කරන්න පුළුවන්ද.,මට පොඩි උදව්වක් කරන්න පුලුවන්ද,Spelling
ඔයාට කොච්චර කල් දවස්ද?,ඔයාට කොච්චර කල් ඩවස්ද?,Visual Reversal
අක්කා බත් කනවා කිව්වා.,අක්ක බත් කනව කිව්වා.,grammar
අම්මා කෑම කෑවා.,අම්මා කෑමා කෑවා.,repetition
ගණන් පාඩම අමාරුයි.,ගැනන් පාඩම අමරුයි.,unknown
මල් මිටි පොකුර ලස්සනයි.,මල් මිටි පොකුර ලස්සනයි.,no_error
ගසේ කොළ ඇත.,ගසෙ කොළ ඇත.,grammar
පළවෙනි පාරට මං එහෙ ගියා.,පලවෙනි පාරට මං එහෙ ගියා.,ල/ළ
මම හරිම සතුටුයි ඔයාව දැකලා,මම හරිම සතුටුයි ඔයාව දැකල,grammar
පොලිසියට කතා කළාද,පොලිසියට කතා කළාද,no_error
කෑම කන්න ආසයි.,කකා කන්න ආසයි,Phonetic (K/M)
ගහ කොළ වැවෙනවා.,ගහ කොළ වැවෙනවා.,no_error
ගොනා පාරේ යනවා.,ගොනා පාරේ යනවා.,no_error
එයාලා ගියා,එයල ගියා,grammar
මම කඩේ යනවා.,මම කඩෙ යනවා,Spelling
දුක හිතුනම කන්න හිතෙනවා.,දුක හිතුනම කන්න හිතෙනව,Grammar
කෑම එක හදනවා.,කෑම එක හදනව,Spelling
මම බත් කනවා.,මම බත් කනවා.,no_error
දුර බැලුවා,දුර බැලල,grammar
මම හෙට හවස එනවා.,මං හෙට හවස එනවඩ.,Grammar
මම කෑම කෑවා.,මම කෑම කෑව,Spelling
අම්මා මට බත් ඉව්වා.,අම්මා මට බත් ඉබ්බා,visual_reversal
සවුළු පාටයි.,සවුළු පාටයි.,no_error
අද රෑට බත් කන්න ඕන.,අද රෑට බත් කන්න ඔන,Grammar
ටෙලිෆෝන් එක රින්ග් වෙනවා,ටෙලිපොන් එක රින්ග් වෙනව,grammar
කමල් අයියා එනවා කිව්වා,කමල් අයියා එනව කිව්වා,grammar
මම තේ කඩලා ගෙනාවා.,මම තෙ කඩල ගෙනව.,phonetic
මට බඩගිනි තමයි.,මට බඩගිනි ඩයි.,phonetic
අද මට සනීප නෑ.,අද මට සනීප නෑ,unknown
කතා කරනවා,කතා කඩනව,grammar
ඉස්කෝලෙට ගිහින් ඉගෙන ගන්න.,ඉස්කොලෙ ගිහින් ඉගන ගන්න.,Grammar Examples
ඔය ගොඩක් ලස්සනයි.,ඔය ගොඩක් ලස්සනයි.,unknown
රෝහලට ගිහින් එන්න,රොහලට ගිහින් එන්න,phonetic
රූක බුද්ධ දෙස බලා සිටියේය,රුක බුද දෙස බලා සිටියේය,Phonetic Confusion
මට සල්ලි ටික ඕනෙ,මට සල්ලි ටික ඌඩ,phonetic_confusion
අගෞරවය හොඳ නෑනේ.,අගරුකම හොඳ නැන.,letter order
මට තියෙන්නේ පොතක් ගන්න.,මට තියනෙ පොතක් ගන්න,Spelling
මට නිදා ගන්න ඕන.,මට නිදා ගන්ඩ ඕන,Spelling
සිනිඳු ගතියක්,සින්ගිති ගතියක්,similar sounds
පූස්ස හොඳයි,පූස්ස හොන්දයි,phonetic_confusion
අම්මා බත් උයනවා,අම්ම බත් උයනඩ,grammar
අපි සත්තු දිහා බැලුවා.,අපි සත්තු දිහා බැලුව,Spelling
මට සල්ලි ඕන,මට සල්ලි ඔන,Phonetic Confusion
පූසා වහලේ උඩ ඉන්නවා,පූසා වහලේ උඩ ඉන්නවා,no_error
ඉස්කෝලේ ඇරෙනවා.,ඉස්කෝලෙ ඇරෙනව,Grammar
කඩල ටිකක් ගේන්න,කඩල ටිකක් ගෙනෙන්,grammar
කෙල්ල හරිම ලස්සනයි,කෙල්ල හරිම ලසසනයි,Visual Scrambling
ඊයේ ගෙදර ඉදලා,ඊයෙ ගෙදර ඉදල,spoken_vs_written_grammar
මට කිරි බොන්න,මට කිරි බොන්න,no_error
මට කන්න බොන්න ඕන,මට කන්න බොන්න ඔන,unknown
මට පොත පෙන්නනවා,මට පොත පෙන්නනවා,no_error
පන්සලට ගියා.,පන්සලට ගියා.,unknown
දුෂණ වැඩ කරන්න එපා.,දුශන වැඩ කරන්න එපා,Phonetic (SH/S)
සත්වයා ගොඩක් ලොකුයි.,සතූව ගොඩක් ලොකුයි.,ල/ළ
පූසා බල්ලා එක්ක සෙල්ලම් කරනවා,පූස බල්ලා එක්ක සෙල්ලම් කරනව,Grammar
යන්න කලින් කතා කරන්න.,යන්න කලින් කතා කරන්න.,no_error
පන්තියේ ළමයි ගොඩක් ඉන්නවා.,පන්තියෙ ලමෙයි ගොඩක් ඉන්නවා.,Phonetic
ගහ යට ඉඳ ගහනවා,ගහ යට ඉඩ ගහනව,unknown
එතකොට මං එහේ යනවා.,එතකොට මං එහේ යනවා.,no_error
පන්ති යනවාද දැන්?,පන්ති යනවද දැන්,Spelling
ගණන් හරියට හදන්න.,ගැනන් හරියට හදනන.,Phonetic Confusion
එයා ගියාම නෑනේ,එයා ගියාම නැන,visual_scrambling
පොලිසියේ අය ආවා.,පොලිසියෙ අය ආව,Spelling
මම ගමට ගිහින් එනවා,මම ගමට ගිහිං එනව,grammar
අම්මා ඒවි කියලා මන් හිතුවා.,අම්මා එයියි කියලා මන් හිතුවා.,visual_scrambling
පවුලේ අය යනවා.,පවුලේ අය වැනවා.,unknown
මූණ බලාහන්,මුන බලාහන්,phonetic confusion
සළු කඩේට ගියා,සලූ කඩෙට ගියා,Phonetic Confusion
පොත බලාගෙන ඉන්නවා,පොත බලාගෙන ඉන්නවා,no_error
හෙට මම කොළඹ යන්න ඉන්නව.,හෙට මම කොලඔ යන්ඩ ඉන්නව.,Phonetic Confusion
අද මොකද කරන්නේ?,අද මොකද කරන්නෙ,Spelling
පන්ති යන්න බලන්න,පන්ති යන්න බෙල,phonetic
දවසම වැස්සයි,දවසම වැස්ස,missing verb
ගාඩ්නෙකට යනවා,ගාඩ්නෙට යනව,grammar
සඳළුතල ලස්සන තැනක්,සදලුතල ලස්සන තැනක්,Phonetic Confusion
දැන් මම කෑම කනවා.,දන මන් කෑම කනවා,Phonetic
රුපියල් දහයයි,රුපියල් දකයි,Phonetic Confusion
සංගීතයට මම බොහොම කැමතියි.,සන්ගීතයට මන් බොහොම කැමතී,Phonetic (N/N)
උදේම නැගිටලා එයා වැඩට ගියා.,උදෙම නැගිටල එයා වැඩට ගියා.,grammar
අම්මා එනකන් මම බලන් උන්නා.,අම්මා එනකන් මන් බලන් උන්නා,Spelling
කෙල්ලෙක් කතාව ලිව්වා,කෙල්ලෙක්ට කතාව ළීව,unknown
පොත් පත් කියෙව්වා.,පත පොත කියෙවුව,Visual Scrambling
ළමයි පොත ලියන්න ආසයි.,පොත ලියන්න ලමයි ආසයි.,word_order
මම ලස්සනට සිංදු කිව්වා.,මම ලස්සනට සිංදු කීව.,grammar
අන්ධකාරේ බයට හිතට දැනුනා,අන්දකාරෙ බයට හිතට දැනුනා,phonetic_confusion
අද මට ටිකක් වැඩියි.,අද මට ටිකක් විඩියි.,Phonetic Confusion
සමනලයා ලස්සනයි.,සමනලයා ලස්සනයි,unknown
අපි හම්බන්තොට යන්න ඕන.,අපි හම්බන්තොට යන්න ඔන,Spelling
අත ලස්සනයි.,අත ළස්සනයි,Phonetic (L/L)
පූසා තමයි ගහේ නැග්ගේ.,පූස තමා ගස්සෙ නැග්ගෙ.,grammar
පුටුව කාගෙද?,පුටුව කගෙද,phonetic
ළමයා පොත කියෙව්වා.,ළමයා පොත කියෙව්වා.,no_error
පැනිරස කෑම කන්න එපා.,පැනිරස කෑම කන්ඩ එපා,Spelling
ඔයා මොකද කරන්න යන්නේ.,ඔයා මොකද කරන්න යන්නෙ.,unknown
පූසා බල්ලව දැක්කා.,පූස බල්ලව දැක්ක,Spelling
මාමා කඩේට ගියේ,මාමා කඩේට ගියේල,Spoken vs Written
මට බඩ ගෙනෙන්න,මට ඩඩ ගෙනෙන්න,unknown
බයික් එක ඩැම්,බය්ක් එක ඩැම්,phonetic_confusion
අහසේ ලස්සන වලාකුළු තියෙනවා.,අහසෙ ලස්සන වලාකුළු තියෙනවා.,Spelling
රටනවා,රටනව,Spoken vs Written
කලබල වෙන්න එපා.,කලබල වෙන්න එපා,unknown
"{""correction"": ""ඔය ළමයා හරිම හොඳයි"", ""analysis"": [{""error"": ""phonetic confusion"", ""type"": ""spelling"", ""original"": ""ලමයා"", ""corrected"": ""ළමයා"", ""reason"": ""Mixing up 'ල' and 'ළ'. 'ළමයා' is the correct word.""}, {""error"": ""phonetic confusion"", ""type"": ""spelling"", ""original"": ""හොදයි"", ""corrected"": ""හොඳයි"", ""reason"": ""Mixing up 'ද' and 'ඳ'. 'හොඳයි' is the correct word.""}, ]}",ඔය ලමයා හරිම හොදයි,unknown
මං පලල් යන්න ඕන,මං පලල් යන්න ඔන,Phonetic Confusion
කඩේට ගිහින් පාන් ගේන්න.,කඩේට ගිහින් පාන් ගෙනෙන්න.,grammar
මගේ පොත,මගෙ පොට,phonetic
පොතේ නම මොකක්ද?,පොතෙ නම මොකක්ද?,grammar
මට සැනසීමක් නැතුව ජීවත් වෙන්න බෑ,මට සැනසීමක් නැතුව ජීවත්වෙන්ඩ බෑ,Grammar
එළවළු ගන්න කඩේ යන්න තියෙනවා.,කඩෙ යන්න තියනව එලවලු ගන්න.,grammar
ගහේ යනවා,ගහෙ යනවා,grammar
කඩ ළඟ,කඩ ලග,Phonetic Confusion
උදේ පාන්දර නැගිට්ටා.,උදේ පාන්දර නැගිට්ට.,grammar
ප්ලාස්ටර් දැම්මා,පලස්තර දැම්ම,Incorrect Spelling
සුදු මල් පිපී තියෙනවා,සුදු මල් පිපී තියෙනවා,no_error
මං ගිය මාසේ ගෙදර ගියා.,මං ගිය මාසේ ගෙදර ගියා.,no_error
දුස්සහනය නවත්වනවා,දුසසනව නවත්තනව,visual_scrambling
කට්ටියම එකතු වෙලා සින්දු කිව්වා.,කට්ටියම එකතු වෙලා සින්දු කිවුව,Spelling
පොත මං ගාව තියෙනවා,පොත මං ගාව තියෙනවා,no_error
මල් වට්ටිය හරි ලස්සනයි.,මල් වට්ටිය හරි ලස්සනයි,unknown
මල් වල පාට හරිම ලස්සනයි.,මල් වල පාට හරිම ලස්සනයි.,no_error
එයා සිංදුවක් කිව්වා,එයා සිංදුවක් කිව්ව,spoken vs written
පොලිසිය හොරාව අල්ලගත්තා.,පොලිසිය හොරාව අල්ලගත්තා,unknown
අද සන්ධ්‍යාව,අද සන්දව,න/ණ
උදේට කෑම කන්න,උඩුමා කෑම කන්න,Visual Scrambling
මට සල්ලි ගෙනත් දෙන්න.,මට සල්ලි ගෙනත්ඩ දෙන්න.,Phonetic Confusion
මල්වල පිනිබිඳු තිබුණා,මල් වල පිනිබිදු තිබුනා,unknown
එයා බයවෙලා බලන් උන්නා.,එයා බයවෙලා බලන් උන්න,Spelling
හඳ පාන වගේ මූණ,හඳ පාන වගේ මුහුන,Phonetic Confusion
ඔයා කොහෙද යන්නේ?,ඔයා කොහෙඩද යන්නෙ,Spelling
අද ඉඳලා වහින්න පටන්ගන්නවා.,අද ඉඳලා වහින්න තණවා.,Phonetic Confusion
එයා ලස්සන කතාවක් කිව්වා.,එයා ලස්සන කතාවක් කිව්වා.,no_error
අද දවසේ මොකද කරන්නේ?,අද දවසෙ මොකද කරන්නෙ,spoken vs written
කවුද ඔයාට මෙහෙ එන්න කිව්වේ?,කවුද ඔයාට කිව්වෙ මෙහෙ එන්න,visual
සිකුරාදා සන්ධ්‍යා වේලේ මම යාලුවෝ එක්ක බියර් බොනවා.,සිකුරාදා සන්ද්‍යා වේලේ මම යාලුවො එක්ක බීර බොනව.,Phonetic (N/ND)
කූඩුවේ කුරුල්ලෝ ඉන්නවා.,කූඩෙ කුරුල්ල ඉන්නව,Spelling
කැරට් දෙන්න.,කැරොට ඩෙන්න.,phonetic
දුරකට යන්න ඕනෙ.,දුරකට යන්ඩ ඔනෙ.,phonetic
පළවෙනි දවසට යන්න ඕන,පලවනිට යන්න ඔිනි,phonetic
මං හිතනවා එයා එනවා ඇති.,මං හිතනව එයා එනව ඇති,Grammar
මම ගාල්ලට ගියා දවසේ,මම ගාල්ලට ගියා ඩස්සෙ,phonetic_confusion
අද සන්ද්‍යාවේ ගෙදර යන්න ඕනේ.,අද සන්ද්‍යාවෙ ගෙදර යන්න ඔනෙ,Spelling
මට නාරිංකෙල් දෙන්න,මට නාරිංකෙල් දෙන්න,no_error
බෙහෙත් ගත්තම ලෙඩේ ඉක්මනට හොඳ වෙනවා.,ලෙඩේ හොද වෙනව ඉක්මනට බෙහෙත් ගත්තම.,grammar
අද මට හරිම සන්තෝසයි.,අද මට හරිම සන්තෝසයි,unknown
කොච්චර ලස්සන දවසක්ද අද?,කොච්චර ලස්සන දවසක්ද අද.,unknown
ගේ දඟ වැඩ නිසා එයාට බැනුම් ඇහුවා.,ගගෙ දග වැඩ නිසා එයාට බැනුම් ඇහුවා.,Visual Scrambling
බළල් සතෙක් ගහ උඩට නැගගත්තා,බළල් සතෙක් ගස් උඩට නැගගත්ත,unknown
මම ඉස්සෙල්ලම කතා කරන්නම්.,මම ඉස්සෙල්ලම කතාකරන්නම්,unknown
එයා ගාවට ගියා.,එයා ගාවට ගියා.,no_error
ඔයා කඩේට ගියද.,ඔයා කඩේට ගියද.,no_error
ගෙදර යන්න කලින් කන්න ඕන.,ගෙදර යන්න කලින් කන්න ඔන,Spelling
අනිද්දා ඉස්කෝලේ පටන්ගන්නවා.,අනිද්ද ඉස්කොලෙ පටන්ගන්නව.,grammar
සුනිල් ගණිත හදනවා.,සුනිල් ගනිත හදනවා,Phonetic (N/N)
ගානට වැඩ කරානම් ඔක්කොම හරියනවා.,ගානට වැඩ කරානම් ඔක්කොම හරීයනවා.,grammar
බඩගිනි වගේ.,බඩගිනි වගේ.,no_error
මං ඒකට කැමති නෑනේ,මං ඒකට කැමති නැන,unknown
පන්ති කාමරයේ දොර ඇරලා තිබුණා.,පන්ති කාමරයේ දොර ඇරලා තිබුණා.,no_error
අම්මා මට බත් දෙන්න,අම්මා මට බත් ඩෙන්න,unknown
අද නිවාඩු දවසක්,අද නිවාඩු දවසක්,unknown
අම්මා එළවලු රැගෙන එනවා,අම්ම එලවලු රැගන එනව,Grammar
ගුරුවරයා ළමයින්ට උගන්නනවා,සිඩුවරයා ලමයින්ට උගන්නව,phonetic confusion
සින්දු ටිකක් කියන්න.,සින්දු බ කියන්න,Spelling
කතා කරොත් දෙන්න.,කතා කරොත් ඩෙන්න.,Visual Reversal
දුර පළාතක ඉඳලා එනවා.,දුර පලාතක ඉදල එනව.,phonetic
කළු පාට බළලා,කලූ පාට බළලා,phonetic
පුටුවේ උඩ ඉඳගන්න.,පුටුවෙ උඩ ඉඩගන්න.,Phonetic Confusion
ස්කෝලෙ ගියා,ස්කොලෙ ගියා,visual
එයාගේ අම්මා රට ගියා.,එයාගේ අම්මා රට ගියා.,no_error
ගමේ පන්සලේ පෙරහැර දැක්කා.,ගමේ පන්සලේ පෙරහැර දැක්කා.,no_error
පන්සලට යනවා.,පන්සලට යනවා.,no_error
ඔයාට කොහොමද සනීප.,ඔයට කොහොමඩ සනීපඩ.,unknown
මම ගණන හදනවා,මම ගණන හැදනව,phonetic
ගණන් හදන්න මට අමාරුයි.,ගනන් හදන්න මට අමාරුයි.,phonetic
බස්සන,ඩස්සන,Visual Reversal
කෙනෙක් එනවා දැක්කා.,කෙනෙක් එනව දැක්ක.,grammar
බල්ලා හිටගෙන ඉන්නවා,බල්ල හිටගන ඉන්නව,grammar
තාත්තා වැඩට ගියා.,තාත්ත වැඩට ගියා.,phonetic
උඩ බලනකොට ලස්සනයි,උඩ බලනකොට ලස්සනයි,unknown
ගොඩාක් පින් සිද්ධ වෙනවා.,ගොඩාක් පින් සිද්ද වෙනව,Spelling
මම තේ බොනවා.,මම තේ ඩෙනව.,visual_reversal
මල් වගේ,මල් වගෙ,phonetic_confusion
උගේ පොත මෙහෙ තියෙනවා.,උගේ පොත මෙහෙ තියෙනවා.,no_error
අද සිනමාව බලන්න ගියා,අද සන්දව බලන්න ගියා,phonetic
පෑන පොත,පැන පොත,phonetic
මම කඩෙන් පාන් ගත්තා.,මම කඩෙන් පාං ගත්ත,Grammar
අද වෙලාව කීයද දන්නෑ,අද වෙලාව කීයද දන්නෑ,no_error
එයාට යන්න ඕනෙ කිව්වා,එයාට යන්න ඔනෙ කිව්ව,Spelling
එයාත් එක්ක කතා කරලා සතුටුයි.,එයත් එක්ක කතාකරල සතුටුයි,Grammar
කාටවත් කියන්න එපා,කෙනෙක්ට කියන්න එපා,grammar
වහිනවා එතකොට,වහිනව එතකොට,unknown
පැණි දී කෑම,පැන ඩී කෑම,visual
අම්මා කෑම හැදුවා.,අම්මා කෑම හැඩුවා.,Visual Reversal (B/D)
රටිනේ කන්න,රටිනේ කනඩ,phonetic
බිඩ,දිඩ,Visual Reversal
බත් කෑවා,බත් කවල,grammar
ගොඩක් දුර නෙමේ යන්න තියෙන්නේ.,ගොඩක් දුර නැනේ යන්න තියෙන්නෙ.,phonetic_confusion
මට සල්ලි දෙන්න කියලා තාත්තා කිව්වා.,මට සල්ලි දෙන්න කියල තාත්ත කිව්ව,Spelling
ටොපි කනවා,ටොපි කනව,Grammar
උඹේ කෑම හරිම රසයි.,උඟෙ කෑම හරිම රහයි.,phonetic
ගානට මම ගියා.,ගානග මම ගියා,Visual Scrambling
බඩුව දෙනවා,බඩුව දියනව,Visual Reversal
පන්ති කාමරයට ගියාම.,පන්ති කාමරයට ගියම.,grammar
අද සන්ධ්‍යාව ලස්සනයි.,අද සන්ද්‍යවෙ ලස්සනයි,Spelling
පොත කියවනවා,පොතකියවනව,grammar
හෙට උදේ පල්ලියට යනවා,හෙට උදේ පල්ලි යනව,unknown
මම යනවලු,මම යනවලු,unknown
රුපියල් දාහක් දෙන්න.,රුපියල් දාහක් දෙන්න,unknown
පන්තියට යන්න ලැස්ති වුණා.,පන්ති යන්න ලැස්ති වුනා.,Grammar
පොත මේසෙ උඩ තියෙනවා.,පොත මේසෙ උඩ තියනවා.,Spelling
ගාල්ලට යන්න ඕනේ,ගාල්ලෙ යන්න ඔනේ,Grammar
එයාලා එනවා ඇති.,එයාලා එනවා ඇති.,no_error
පොතේ බලනවා.,පොතේ බලනවා.,no_error
පන්තියේ ළමයින් ගොඩාක්,පන්තියෙ ලමයින් ගොඩාක්,phonetic confusion
එයා ගෙදර ගියාද දන්නෙ නෑ.,එයා ගෙදර ගියාද දන්නෙ නෑ,unknown
ගොඩක් වටින දෙයක් නැති උනා.,ගොඩක් වටින දෙයක් නැස උනා,Phonetic
පාරේ ලොකු වලක් තියෙනවා.,පාරෙ ලොකු වලක් තියනව,Spelling
පාර දිගේ පාරේ යනවා,පඩ‍්ඩක පාරෙ යනව,Visual Scrambling
ගාන්ධාර බස් එක නැවතුනා,ගන්දර බස් එක නැවතුනා,Phonetic Confusion
ගහට නැගලා පළතුරු කපනවා.,ගහට නැගල පලගැනුම් කපනව,Phonetic Confusion
මිල කීයද ඇහුවා,මිල කීයද ඇහුව,Grammatical inconsistency
දොකා ඇවිත් ගියා,දොකා ඇවිත් ගියා,no_error
පඩිපෙළ,පඩිපෙල,Phonetic Confusion
අද සන්ධ්‍යා වේලේ කෑම කන්න යමු,අද සන්දය වේලෙ කෑම කන්න යමු,phonetic confusion
කිකිළිය බිත්තර දැම්මා.,කිකිලිය බිඩි දැම්මා,Spelling
ගාණට තියෙනවා,ගානට තියනව,grammar
පටන් ගන්න බැහැ.,පටන් ගන්න බැ.,Grammar
ගාවට එනවා.,ගාවට එනව.,grammar
එයාල බත් කනවද?,එයාල බත් කනවඩ?,Phonetic Confusion
මට බයික් එකක් ඕනේ.,මට බය්ක් එකක් ඔනෙ.,phonetic confusion (න/ණ)
කතාව අහනවා.,කතාව අහනවා.,no_error
නටන්නත් නටන්න ඕන,රටිනුත් නටන්න ඔින,phonetic_confusion
මට තේ එකක් බොන්න ඕනෙ.,මට තේ එකක් බොන්න ඕන,Spelling
ඔයා මොනවද කරන්නේ දැන්.,ඔයා මොනව කරන්නෙ දැන්.,grammar
අද නංගී ඉස්කෝලේ ගියා.,අද නංගී ඉස්කෝලේ ගියා.,no_error
උදේ ගෙදර හිටියා,උදෙ ගෙදර හිටිය,grammar
අප්පච්චී පොල් ගේනවා.,අප්පච්චී පොල් ගෙන්නව.,Spoken vs Written
ඉස්කෝලේ යන්න,ඉස්කොලෙ යන්න,grammar
එයාලා එනවා දැන්,එයල එනව දැන්,unknown
කඩේට ගිහින් එන්න.,කදෙට ගිහින් එන්න.,unknown
පැලට වතුර දාන්න.,පැලට වතුර දාන්න.,no_error
ළමයින්ට පොත් කියවන්න.,ළමයින්ට පොත් කියවන්න.,no_error
පල්ලියේ ගියා.,පල්ලිෙ ගියා.,visual_scrambling
ගුරුළු,ගුරලු,ල/ළ
සතා කෑම කනවා,සතා කෑම කනව,grammar
පන්තියේ ළමයින් කී දෙනෙක් ඉන්නවද.,පන්තියෙ ලමයින් කී දෙනෙක් ඉන්නවද,Spelling
අද ලස්සන දවසක් වේ.,අද ලස්සන දවසක් වේ.,no_error
පොත ඩෙස්ක් එක මත තියෙනවනම්,පොත ඩෙස්ක් එක මත තියනවනම්,unknown
හෙමින් කතා කරන්න,කමට කතා කරන්න,phonetic
උදේම නැගිටපන්.,උදේම නැගිටපන්,unknown
බඩුව දුන්නා,බඩුව දුන්න,grammar
අද නන්දගේ උපන්දිනේ.,අද නන්දෙගේ උපන්දිනේ.,phonetic
මම ආසයි සින්දු වලට,මං ආසයි සින්දු වලට,unknown
පූසෙක් ගෙදර ආවා,පූසෙක් ගෙදර ආවා,no_error
මට සින්දුවක් අහන්න ඕන.,මට සින්ඩුවක් අහන්න ඕන,Phonetic (N/N)
මං ඊයෙ ගියා.,මං ගියා ඊයෙ,unknown
අකුරු නෙ කියවනවා.,අකුරු නෙ කියවනවා.,no_error
සුළඟ හමනවා.,සුළඟ හමනවා,unknown
එයා බැංකුවට ගියා.,එයා බයියට ගියා.,Visual Reversal (බ/ඩ)
උදේට කෑම කෑවද?,උදේට කෑම කෑවද?,no_error
අහසේ තරු පේනවා.,අහසෙ තරු පේනවා,Spelling
සදර් වතුර බොනවා.,සදර වතුර බොනව,Visual Scrambling
පොතේ ලියලා තියෙන්නේ ගස් ළඟ තිබ්බ කුරුල්ලෝ ගැන.,පොතේ ලියලා තියෙන්නේ ගස් ළඟ තිබ්බ කුරුල්ලෝ ගැන.,no_error
ඔහු ගියා කියලා මම හිතනවා,එයා ගියා කියල මං හිතනව,Pronoun Usage
පොත් පත කඩේ යනවා,පත පොත කඩෙ යනව,Visual Scrambling
අපි හෙට කන්දට යන්න ඕනෙ,අපි හෙට කන්දට යන්න ඔනෙ,phonetic
ඔය කතාව ඇත්තද?,ඔය කතව ඇත්තද?,phonetic
පොළොවේ හැප්පුනා,පොලවෙ හැප්පුනා,phonetic
පොලිසියට දැනගන්න ඕන,පොලිසියට දැනගන්න ඕන,no_error
බලන්න ඕන,බලන්න ඕන,unknown
එයාලා එතැනට යනවා බැලුම්ගල බලන්න.,එයාල එතනට යනවා බැලුම්ගාල බලන්න,Phonetic (L/L)
අපි දැන් පාඩම් කරමු.,අපි ඩය පාඩම් කරමු,Visual Scrambling
ඇඳුම් ගන්න,අඩූකු ගන්ඩ,unknown
මම කඩල කෑවා.,මම කඩල කෑව.,grammar
ළමයින් සෙල්ලම් කරලා.,ලමයින් සෙල්ලම් කරලා,Phonetic (L/L)
උගේ තවදුරටත්,උගෙ තවදුරටත්,unknown
නංගී පාඩම් කරනවා.,නංගී පාඩම් කරනො,Grammar
අද ඉඳලා මම එයාට කතා කරනවා,අද ඉඳලා මම එයාට කතා කරනවා,no_error
ගඩොල අරගෙන එන්න,ගඩවත අරගන එන්න,ළ/ල
කඳුළු වැටුනා,කඳුළු වැටුනා,no_error
පොත මේසෙ උඩ තියෙනවා.,පොත මේසෙ උඩ තියෙනවා.,no_error
ක ක ක කො කො කො,ක ක ක කො කො කො,no_error
කඩේ ළඟ පොලිසිය තියෙනවා.,කඩෙ ලඟ පොලිසිය තියෙනව.,Phonetic Confusion
මේ පොත බලන්න.,මෙ පොත බලන්න,Spelling
මට කන්න බත් එකක් ඕන,මට කන්න බතක් ඔන,spoken vs written form
අරුණ පන්සලට ගියා.,අරූන් පන්සලට ගියා,Phonetic
පිනු,පිනුන,phonetic
මම පල්ලි යනවා,මං පල්ලි යනව්,Grammar
එයා බයෙන් හිටියේ.,එයා බයෙං හිටියෙ.,grammar
ඔයා කොහොමද යන්නෙ?,ඔයා කොහොමෙඩ යනනව,Phonetic Confusion
පළවෙනි පාරට මම එහෙ ගියා.,පලවෙනි පාරට මම එහෙ ගියා.,phonetic
ගංගා නදිය ලංකාවේත් තියෙනවා.,ගන්ගා නදිය ලන්කවෙත් තියනව.,phonetic
පොතක් කියවන්න ඕන,පොතක් කියවන්න ඔනි,Grammar
ඔය ළමයා හරි ලස්සනයි,ඔය ලමය හරි ලස්සනයි,unknown
ඇය ලස්සනට හිනාවුණා.,ඇය ලස්සනට හිනාවුන,Spelling
අද මම පළවෙනි පාරට කඩේට ගියා.,අද මම පලවෙනි පාරට කඩෙට ගියා.,Phonetic Confusion (L/ළ)
ළමයා නිදාගන්නවා,ළමයා නිදාගන්නව,grammar
සරුංගලේ අහසේ මෙන් යනවා.,සරුංගලේ අහසේ මිය්න් යනවා.,Phonetic Confusion
අම්මා කෑම හදන්නේ නැති,අම්මා කෑම හදන්නැති,Grammar
එයාලා සතුටින් උන්නා.,එයාලා සතුටින් උන්නා,unknown
සිනහව සැනසීම ගෙන දෙයි,සිනහව සැනසීම ගෙනදෙයි,unknown
අද දවස රස්නෙයි.,අද ඳවස රස්නෙයි.,Phonetic Confusion
අද ඉස්කෝලෙ ගියේ නෑ,අද ඉස්කොලෙ ගියෙ න,grammatical inaccuracy
මට කන්න බොන්න දෙයක් දෙන්න.,මට කන්න බොන්න දෙයක් දෙන්න,unknown
උදේ පාන්දර නැගිට්ටා.,උදේ පාන්දර නැගිට්ට,Spelling
සිංදුවක් අහනවා.,සින්ඩුවක් අහනව.,phonetic
කළේ ගෙඩිය කහ පාටට හැරෙනවා,කළෙ ගෙඩිය කහ පාටට හැරෙනව,එ/ඒ
