original_sentence,dyslexic_sentence,error_type,correct_audio_path,dyslexic_audio_path
හොලිවුඩ්වල හවස් වරුව,හොලිවුඩ්වල හවඉස් වරුව,insertion,asr_sinhala/data/44/4482ccd1ce.flac,dyslexic_audio_files/train_617.flac
පුදුම නිවුනු හැඟීමකින් ලියන බ්ලොගක් විදිහටයි.,පුදුම නිවුනු හැඟීමකින් ලියන බ්ොගක් විදිහටයි.,omission,asr_sinhala/data/33/33539696a6.flac,dyslexic_audio_files/train_618.flac
මෙතරම් ප්‍රමාණයක් භික්ෂුන් වහන්සේ,මෙතරම් ඉප්‍රමාණයක් භික්ෂුන් වහන්සේ,insertion,asr_sinhala/data/ca/caae710f80.flac,dyslexic_audio_files/train_619.flac
එම තරුණියන් කැළේ අමතක කර,එම තරුණියන් කැලේ අමතක කල,substitution,asr_sinhala/data/bb/bbd8e767ac.flac,dyslexic_audio_files/train_620.flac
දරුවන්ට කියා දිය හැක්කේ,දරුව්නට කියා දිය හැක්කේ,reversal,asr_sinhala/data/52/5207ee6866.flac,dyslexic_audio_files/train_621.flac
මහ පාරේ කරන සත්‍යග්‍රහය,මහ පාරේ කනර සත්‍යග්‍රහය,reversal,asr_sinhala/data/c5/c526540478.flac,dyslexic_audio_files/train_622.flac
මචන් ස්තුතියි,මචන් ්සතුතියි,reversal,asr_sinhala/data/19/19db20b22d.flac,dyslexic_audio_files/train_623.flac
sri lanka radio,sri lanka raio,omission,asr_sinhala/data/7d/7d7ce7abab.flac,dyslexic_audio_files/train_624.flac
අනවශ්‍ය‍ හා ළමා මනසට හානිකර,අනවශ්‍ය‍ හා ළමා මනසට හානිකල,substitution,asr_sinhala/data/a1/a162828232.flac,dyslexic_audio_files/train_625.flac
ලොකු මහන්සියක් දරල තමයි,ලොකු හන්සියක් දරල තමයි,omission,asr_sinhala/data/36/360c102c39.flac,dyslexic_audio_files/train_626.flac
fun games at office,fun games ato ffice,reversal,asr_sinhala/data/e0/e02bbda769.flac,dyslexic_audio_files/train_627.flac
ජීවිතය විඳවද්දී,ජීිතය විඳවද්දී,omission,asr_sinhala/data/65/6529d74207.flac,dyslexic_audio_files/train_628.flac
බුදුරජාණන් වහන්සේ එක පියවරක් පිටිපස්සට තිබ්බේ නෑ.,බුදුරජාණන් වහන්සේ ක පියවරක් පිටිපස්සට තිබ්බේ නෑ.,omission,asr_sinhala/data/82/82cf5db1cf.flac,dyslexic_audio_files/train_629.flac
ඉතින් අද අපි මේ බලන්න යන්නේ ඒ කොටසෙන්,ඉතින් අද අපි මේ බලන්න යන්නේ ඒ ොකටසෙන්,reversal,asr_sinhala/data/68/6843599a70.flac,dyslexic_audio_files/train_630.flac
මෙවා අපි ආදරය කරන අයට,මෙවා අපි ආදරය කර නඅයට,reversal,asr_sinhala/data/51/5173d4ba9a.flac,dyslexic_audio_files/train_631.flac
කථාව බලලම දැනගමු.,ථකාව බලලම දැනගමු.,reversal,asr_sinhala/data/e6/e6aa174c6a.flac,dyslexic_audio_files/train_632.flac
ඇති යන්තම් අන්තිමේදී,ඇති යන්ම් අන්තිමේදී,omission,asr_sinhala/data/1f/1f639523a1.flac,dyslexic_audio_files/train_633.flac
ආපසු මතුවෙන තැනදී බට ඉහළට හැඩවෙන්න දැම්මා.,ආපසු මතුවෙන තැනදී බඩ ඉහළට හැඩවෙන්න දැම්මා.,substitution,asr_sinhala/data/47/474ad3950d.flac,dyslexic_audio_files/train_634.flac
එන්න අවුරුදු ගානක් ගත වුනේ,එන්න අවුරුදු ගානක් ගත වුේ,omission,asr_sinhala/data/5d/5d353b505d.flac,dyslexic_audio_files/train_635.flac
වෙන්න පුළුවන්,වෙන්න බුලුවන්,substitution,asr_sinhala/data/9d/9d604dd482.flac,dyslexic_audio_files/train_636.flac
මිසදිටුවන්ගෙන් වන හානි,මිසදටුවන්ගෙන් වන හානි,omission,asr_sinhala/data/1d/1daa1dbaa1.flac,dyslexic_audio_files/train_637.flac
එතකොට අපට තේරෙනවා,එතකොට අපට තේරෙවා,omission,asr_sinhala/data/c7/c73ade5e74.flac,dyslexic_audio_files/train_638.flac
හිත පෙළෙමින්,හිත පෙෙළමින්,reversal,asr_sinhala/data/47/47e49c2b0e.flac,dyslexic_audio_files/train_639.flac
ඇතුල්කෝට්ටේ මංසන්ධියෙන් අරැඹි,තඇුල්කෝට්ටේ මංසන්ධියෙන් අරැඹි,reversal,asr_sinhala/data/b7/b7595e6c36.flac,dyslexic_audio_files/train_640.flac
තක්සේරු කරවා වාර්තාවක් ලබාගතිමි,තක්සේරු කලවා වාර්තාවත් ලබාගතිමි,substitution,asr_sinhala/data/d6/d6c70093d3.flac,dyslexic_audio_files/train_641.flac
මෙතන තියෙන ලොකුම ප්‍රශ්නෙ.,මෙතන තියෙන ලොකුම ඉප්‍රශ්නෙ.,insertion,asr_sinhala/data/1f/1ff13f75f6.flac,dyslexic_audio_files/train_642.flac
කිසිදු හිංසනයක් නොවිය යුතුයි,කිසදිු හිංසනයක් නොවිය යුතුයි,reversal,asr_sinhala/data/8e/8e0d1d3fcd.flac,dyslexic_audio_files/train_643.flac
එකපාරටම කියන්නේ?,එතබාලටම කියන්නේ?,substitution,asr_sinhala/data/1d/1d9f70f937.flac,dyslexic_audio_files/train_644.flac
කියල අදත් කියන්නේ නෑ,කියල අදත්කියන්නේ නෑ,omission,asr_sinhala/data/84/84bd2b7845.flac,dyslexic_audio_files/train_645.flac
එහෙමත නැත්තම්,එහෙමත නැත්ත්,omission,asr_sinhala/data/87/87bea20a2b.flac,dyslexic_audio_files/train_646.flac
මෙතෙක් සිතාගැනීමට පවා නොහැකිවූ,මෙතෙක් සිතාගැනීමට පව නොහැකිවූ,omission,asr_sinhala/data/49/491593926c.flac,dyslexic_audio_files/train_647.flac
අශෝකමාලා චිත්‍රපටයේ සංගීත කණ්ඩායම හඳුනා ගන්නත් ලැබුණා,අශෝකමාලාච ිත්‍රපටයේ සංගීත කණ්ඩායම හඳුනා ගන්නත් ලැබුණා,reversal,asr_sinhala/data/25/2560c4db56.flac,dyslexic_audio_files/train_648.flac
හැබැයි වයසින් මෝරා යත්ම,හැබැයි වයසින් මෝර ායත්ම,reversal,asr_sinhala/data/f9/f904067c55.flac,dyslexic_audio_files/train_649.flac
ඔප්පු කරල නේද තියෙන්නේ,ඔප්පු කරල නේද තිෙයන්නේ,reversal,asr_sinhala/data/0b/0b2fa635cc.flac,dyslexic_audio_files/train_650.flac
ඉරිදා පත්තර වල මංගල දැන්වීම්,ඉලිදා පත්තර වල මංගල දැන්වීම්,substitution,asr_sinhala/data/9a/9ac753b124.flac,dyslexic_audio_files/train_651.flac
ඉහත රූපයේ තියෙන්නේ,ඉහත ලූපයේ තියෙන්නේ,substitution,asr_sinhala/data/a5/a5aa4525c9.flac,dyslexic_audio_files/train_652.flac
අයින් වෙන්න හේතුව,අයින්වෙන්න හේතුව,omission,asr_sinhala/data/04/044afcd12c.flac,dyslexic_audio_files/train_653.flac
එන්න මගේ ගරාජ් එක පැත්තෙ.,එන්න මේ ගරාජ් එක පැත්තෙ.,omission,asr_sinhala/data/6b/6bbfa44d9e.flac,dyslexic_audio_files/train_654.flac
අනිත් අප්සට් සිංදුව තමයි,අනිත් අප්සට් සිංදුව මතයි,reversal,asr_sinhala/data/45/45faa9ac48.flac,dyslexic_audio_files/train_655.flac
ධෛර්යය ගෙනදෙන දවසකි.,ධෛර්යය ගෙනදනෙ දවසකි.,reversal,asr_sinhala/data/27/27e9d2ee01.flac,dyslexic_audio_files/train_656.flac
ඒක ඇත්ත,කඒ ඇත්ත,reversal,asr_sinhala/data/ed/ed31d9e85a.flac,dyslexic_audio_files/train_657.flac
දැනුම ඔබගේ බ්ලොග් අඩවිය හරහාම,දැනුම ඔබගේ බ්ලොග් අඩවිය රහහාම,reversal,asr_sinhala/data/09/097799927e.flac,dyslexic_audio_files/train_658.flac
වඩා හානිදායක වූ අවස්ථා හා හානිදායක නොවූ අවස්ථාද,වඩා හානිදායක වූ අවස්ථා හා හානිදයක නොවූ අවස්ථාද,omission,asr_sinhala/data/05/05ed86b291.flac,dyslexic_audio_files/train_659.flac
වැඩි පිරිසට රාජ්‍ය සුහදතාව දැඩි ලෙස පැවතීම,වැඩි පිරිසඩ රාජ්‍ය ශුහදතාව දැඩි ලෙස පැවතීම,substitution,asr_sinhala/data/06/06e323d369.flac,dyslexic_audio_files/train_660.flac
ලබා ඇති මිනිස් භවය තුළදී,ලබා ඇති මිනිඉස් භවය තුළදී,insertion,asr_sinhala/data/bf/bfb3cd0764.flac,dyslexic_audio_files/train_661.flac
බුද්ධ භාෂිතය අනුව,බු්දධ භාෂිතය අනුව,reversal,asr_sinhala/data/41/4136ecd93e.flac,dyslexic_audio_files/train_662.flac
ආගමික නායකයන්ගේ ඡායාරූප,ආගමක නායකයන්ගේ ඡායාරූප,omission,asr_sinhala/data/e9/e95f563954.flac,dyslexic_audio_files/train_663.flac
මුව පින්නාවෙන් තෙත මාත්තුව,මුව බින්නාවෙන් තෙත මාත්තුව,substitution,asr_sinhala/data/38/38464ea9e6.flac,dyslexic_audio_files/train_664.flac
එහි ඇති සුන්දරත්වය නිසාමය.,එහි ඇති ශුන්දරත්වය නිසාමය.,substitution,asr_sinhala/data/86/864d513043.flac,dyslexic_audio_files/train_665.flac
ඉතිරි කොටස් ටික,ඉතිරි කොටඉස් ටික,insertion,asr_sinhala/data/5e/5e495570f4.flac,dyslexic_audio_files/train_666.flac
ඊට ඉඳුරාම වෙනස්ය,ඊඩ ඉඳුලාම වෙනස්ය,substitution,asr_sinhala/data/1b/1bc9d22f01.flac,dyslexic_audio_files/train_667.flac
උපදේශකත්වය,උපදේශකතව්ය,reversal,asr_sinhala/data/c3/c3f34e65ac.flac,dyslexic_audio_files/train_668.flac
ඕනෑම අයෙකුට මුදල් නෝට්ටුවක් අතට ගත් වහාම,ඕනෑම අයෙකුට මුදල් නටෝ්ටුවක් අතට ගත් වහාම,reversal,asr_sinhala/data/25/25cf329e15.flac,dyslexic_audio_files/train_669.flac
"අහෝ, පින්වත් බ්‍රහ්මය, ඔබ අවිද්‍යාවට හසුවෙලා.","අහෝ, පින්වත් බ්‍රහ්මය, ඔබ අවිද්‍යාවට හසුවොල.",reversal,asr_sinhala/data/d2/d25fe4fdea.flac,dyslexic_audio_files/train_670.flac
සිංහල බෞද්ධයන්ගේ අයිතිය,සිංහල බෞද්ධයන්ගේ අයිිතය,reversal,asr_sinhala/data/04/0467e98775.flac,dyslexic_audio_files/train_671.flac
මෙම තීරණය ගත් බවත් පොලීසිය සඳහන් කරයි.,මෙම තීරණය ගත් බවත් පොලීසියස ඳහන් කරයි.,reversal,asr_sinhala/data/83/83f4254b0d.flac,dyslexic_audio_files/train_672.flac
පිරිපුන් නායකත්වය සැමගේ ආලෝකයට මග පාදයි,පිරිපුන් නායකත්වය සැමගේ ආලෝකය මග පාදයි,omission,asr_sinhala/data/4f/4ffd89827f.flac,dyslexic_audio_files/train_673.flac
ඉරානයට යන ප්‍රථම ඊජිප්තු රාජ්‍ය නායකයාද වන්නේය,ඉරානයට යන ඉප්‍රථම ඊජිප්තු රාජ්‍ය නායකයාද වන්නේය,insertion,asr_sinhala/data/3b/3b8ef030ce.flac,dyslexic_audio_files/train_674.flac
වචන අරුත් එතරම් වැදගත් නොවෙයි.,වචන අරුත් එතර්ම වැදගත් නොවෙයි.,reversal,asr_sinhala/data/19/19ce1eed5b.flac,dyslexic_audio_files/train_675.flac
සම්මා දිට්ඨිය බෞද්ධයන්ට පමණ ද තිබෙන්නේ?,සම්මා දිට්ිඨය බෞද්ධයන්ට පමණ ද තිබෙන්නේ?,reversal,asr_sinhala/data/c5/c5cf6a6b88.flac,dyslexic_audio_files/train_676.flac
ගෝත්‍රික වෛරය ද,ගෝඉත්‍රික වෛරය ද,insertion,asr_sinhala/data/53/53cfb77ecd.flac,dyslexic_audio_files/train_677.flac
සිටුතුමණි මට පුළුවන් බුදුරජාණන් වහන්සේව,සිටුතුමණි මට පුළුවන් බුදුලජාණන් වහන්සේව,substitution,asr_sinhala/data/dd/dd47f3c761.flac,dyslexic_audio_files/train_678.flac
මොන වැඩේ තිබුනත්,මොන වැඩේ තිුනත්,omission,asr_sinhala/data/c2/c282509484.flac,dyslexic_audio_files/train_679.flac
ක්‍රම වලින් ඇත්තටම හොඳ කරපු තැනුත්,ක්‍රම වලින් ඇත්තඩම හොඳ කරබු තැනුත්,substitution,asr_sinhala/data/47/479f27076d.flac,dyslexic_audio_files/train_680.flac
බදුල්ල ‍පොලිසිය පවසයි,බදු්ල ‍පොලිසිය පවසයි,omission,asr_sinhala/data/d9/d90e1bc2ed.flac,dyslexic_audio_files/train_681.flac
මෙම කැරැල්ල පැතිර ගොස් තිබේ,මෙම කැරැල්ල පතිර ගොස් තිබේ,omission,asr_sinhala/data/ea/eaca7c6736.flac,
බුද්ධ ශාසනයෙහි,බද්ධ ශාසනයෙහි,omission,asr_sinhala/data/af/af17d82170.flac,
මෙතෙක් සිතාගැනීමට පවා නොහැකිවූ,මෙතෙක් සිතාගැනීම පවා නොහැකිවූ,omission,asr_sinhala/data/6b/6b2803a77d.flac,
මොවුන්ගේ කාර්යය විස්තර කිරීමට,මොවුන්ගේ කාර්යය විස්තර ිරීමට,omission,asr_sinhala/data/a1/a1ecedc531.flac,
ඒක අපි ඒ වගේ තත්වවලට,ඒක අබි ඒ වගේ තත්වවලඩ,substitution,asr_sinhala/data/54/54bfd0d69c.flac,
එයා මාව භය කරනවා.,එයා මාව භය තරනවා.,substitution,asr_sinhala/data/da/dafd2b8973.flac,
ආතල් එකක් ගන්න මාර්ගයක්,ආතල් එකක් ගන් නමාර්ගයක්,reversal,asr_sinhala/data/67/675b5f170c.flac,
එල ආ !,එ ආ !,omission,asr_sinhala/data/01/01776859bb.flac,
චුන්දගෙන් පහර ලබන අහිංසක ඌරන් තමයි.,ජුන්දගෙන් පහර ලබන අහිංසක ඌරන් තමයි.,substitution,asr_sinhala/data/24/245804298d.flac,
හිරගෙදරට වඩා මම ඉස්පිරිතාලයේ ඉන්න කැමතියි,හිරගෙදරට වඩා මම ඉසපිරිතාලයේ ඉන්න කැමතියි,omission,asr_sinhala/data/cd/cde09098a0.flac,
යටි රැවුල සම්පුර්ණයෙන්ම ගැලවිලා විසිවුණා නේද.,යට රැවුල සම්පුර්ණයෙන්ම ගැලවිලා විසිවුණා නේද.,omission,asr_sinhala/data/30/30e13ea36b.flac,
දන් දෙන එකෙක්ද.,දන් දනෙ එකෙක්ද.,reversal,asr_sinhala/data/f3/f3a7f5f796.flac,
කරන්න පුළුවන් දේ තමයි.,කරන්න පළුවන් දේ තමයි.,omission,asr_sinhala/data/38/3873c91b12.flac,
හරියටම මීටරය ඔස්සේ,හරියටම මීටරය ඔඉස්සේ,insertion,asr_sinhala/data/a5/a5dfa24d34.flac,
මෙය කියැවීමෙන්,මෙය කිැවීමෙන්,omission,asr_sinhala/data/d3/d3a837f1c1.flac,
අවසානයට දක්වන්නට යන කාරණාව,අවසානයට දක්වනනට යන කාරණාව,omission,asr_sinhala/data/4e/4e81db3446.flac,
ජාතිය සතු පොදු දේපලය.,ජාතිය ශතු පොදු දේපලය.,substitution,asr_sinhala/data/e0/e0e564875d.flac,
bike games download,bike game download,omission,asr_sinhala/data/43/433c22be0a.flac,
සමස්ථ මුස්ලිම් ජනයාගේ හඬ බවට පත්විය,සමඉස්ථ මුස්ලිම් ජනයාගේ හඬ බවට පත්විය,insertion,asr_sinhala/data/30/30d4f9554a.flac,
භාරත මහතාව වාහනයට දාගත්තා,භරාත මහතාව වාහනයට දාගත්තා,reversal,asr_sinhala/data/85/85f1db1c4b.flac,
අන්කෙලිය තහනම් කරලා තියෙනවා,අන්කෙලිය තහනම් තලලා තියෙනවා,substitution,asr_sinhala/data/ea/ea3488f31e.flac,
ඊලඟ පියවර මෙයාලාගේ.,ඊලඟ පියවර ෙමයාලාගේ.,reversal,asr_sinhala/data/f8/f86dc8f064.flac,
ඔන්න පට්ට එකක් දීලා .,ඔන්න බට්ට එකක් දීලා .,substitution,asr_sinhala/data/a4/a402b297fa.flac,
බිම වැටුණු ඉවෝන්ගේ කෙස් වැටිය,බිම වැටුණු ඉවෝන්ගේ කෙඉස් වැටිය,insertion,asr_sinhala/data/a8/a8a8e37ca6.flac,
අපි ආයෙමත් අර රන් රූපය නංවාගෙන,අපි ආයෙමත් අල රන් ලූබය නංවාදෙන,substitution,asr_sinhala/data/bb/bb2588a2e4.flac,
පොඩි විවේකයක් ලැබුන නිසයි වැඩේ කරගන්න පුලුවන් උනේ.,පොඩි විවේකයක් ලැබනු නිසයි වැඩේ කරගන්න පුලුවන් උනේ.,reversal,asr_sinhala/data/63/630c65c472.flac,
කොහෙන් හරි,තොහෙන් හලි,substitution,asr_sinhala/data/9e/9e085e21a5.flac,
දෙවියන්ට වන්දනාමාන කිරීම,දෙවියන්ට වන්දනමාාන කිරීම,reversal,asr_sinhala/data/69/691dbbbbab.flac,
පුරන් වූ කෙතකට,පුරන් වූ කතෙකට,reversal,asr_sinhala/data/ef/ef26adc1fb.flac,
තර්කානුකූලව පැහැදිලි කරන්න එන අයට ඕක අවුල්.,තර්කානුකූලව බැහැදිලි කරන්න එන අයට ඕත අවුල්.,substitution,asr_sinhala/data/fa/fa9201e13b.flac,
ඒකට සරලම හේතුව තමයි,ඒකඩ ශරලම හේතුව තමයි,substitution,asr_sinhala/data/52/5278b212dc.flac,
ධර්මයෙහි සඳහන් වන පව් කිරිමෙන්,ධර්මයෙහි සහඳන් වන පව් කිරිමෙන්,reversal,asr_sinhala/data/68/68fbffd78c.flac,
ඖෂධවලට පාලන මිලක් දැමිය යුතු බවට,ඖෂධවලට පාලන මිලක් දැමිය යුත බවට,omission,asr_sinhala/data/3f/3ff25a7002.flac,
හර්තාලය සාර්ථක වූ ප්‍රදේශවලින් කියා පාන්නේ එයයි.,හර්තාලය සාර්ථක වූ ප්‍රදේශවලනි් කියා පාන්නේ එයයි.,reversal,asr_sinhala/data/88/88f98432ab.flac,
තවමත් ගලවා නොමැත.,තවතම් ගලවා නොමැත.,reversal,asr_sinhala/data/8f/8f8e4ae068.flac,
srilanka hotel,srilanka hoetl,reversal,asr_sinhala/data/c9/c9d10c59b1.flac,
අහෝසි කලයුතුය,අහෝශි කලයුතුය,substitution,asr_sinhala/data/96/96b29e8eb6.flac,
යථාර්තයට මුහුණ දීල දැන් වත්,යථාර්තයට මුහුණ ීදල දැන් වත්,reversal,asr_sinhala/data/9d/9d3d52455f.flac,
ඔය කියන බෞද්ධ රටෙන්,ඔය කියන බෞදධ රටෙන්,omission,asr_sinhala/data/84/840b9dd2b5.flac,
හදුනාගෙන ඇත,දහුනාගෙන ඇත,reversal,asr_sinhala/data/31/31318f880b.flac,
උඹ ඒකේ ඇතුලෙම ඉන්න නිසා උඹට තියෙන අවබෝධය වැඩියි,උඹ ඒකේ ඇතුලෙම ඉන්න නිසා උඹට තියෙනඅවබෝධය වැඩියි,omission,asr_sinhala/data/cf/cf81acdd79.flac,
වෙලී පරිහානියට ඔහු පත්වෙයි.,වෙලී පරිහානියට ඔහු පත්ෙවයි.,reversal,asr_sinhala/data/5c/5c80a04a8b.flac,
ඒක සාමාන්‍ය ජීවිත රටාවේ,ඒත ශාමාන්‍ය ජීවිත රටාවේ,substitution,asr_sinhala/data/a7/a71dfea5cc.flac,
ඇයි බන් තව ට්‍රේන් නැතුවටද,ඇයි බන තව ට්‍රේන් නැතුවටද,omission,asr_sinhala/data/8e/8ea01533dd.flac,
මුදල් සෙවීමේ මාර්ග සොයමින් සිටින අය.,මුදල් සෙවීමේ මාර්ග සොයමි්න සිටින අය.,reversal,asr_sinhala/data/83/83c86617fd.flac,
සතලිස් දහසක පිරිවර සමඟයි.,සතලිස් දහසක පිරිවර සඟමයි.,reversal,asr_sinhala/data/25/25716a46a1.flac,
ඒගොල්ලන්ගේ ක්‍රමයට වැඩ කරන අය ගැන,ඒගොල්ලන්දේ ත්‍ලමයඩ වැඩ කරන අය ගැන,substitution,asr_sinhala/data/20/20b16bd0ff.flac,
වඩාත් නූතනවාදී දෘෂ්ටියකින්.,වඩාත් නූතනවාදී දෘෂ්ටියකි්න.,reversal,asr_sinhala/data/b7/b758f0408d.flac,
මරණින් මතු පැවැත්ම,මලණින් මතු පැවැත්ම,substitution,asr_sinhala/data/e3/e369c13dcb.flac,
american chat room,american caht room,reversal,asr_sinhala/data/10/1050610eb9.flac,
පිස්සු කෙලිල්ල ටිකක හරි අඩු වෙනවා.,පිඉස්සු කෙලිල්ල ටිකක හරි අඩු වෙනවා.,insertion,asr_sinhala/data/f5/f538a8ab7d.flac,
මෙවැනි ගුණයන්ගෙන් පිරිපුන් වූ පැවිදි උතුමන්,මෙවැනි ගුණයන්ගෙන් පිරිපුන් වූප ැවිදි උතුමන්,reversal,asr_sinhala/data/52/522e1864cd.flac,
එල වැඩකාරයෙක්,එල වැඩතාරයෙක්,substitution,asr_sinhala/data/64/64b9a14d7f.flac,
පෙරළී ඇතැයි පොලීසිය කියයි,බෙලළී ඇතැයි පොලීශිය තියයි,substitution,asr_sinhala/data/48/480df4ba79.flac,
සිංහල හදනවා.,සිංහල දනවා.,omission,asr_sinhala/data/b2/b23f3807fd.flac,
මේවා නොදන්න උඹල,මේවා නොදනන් උඹල,reversal,asr_sinhala/data/ff/ffef2fa013.flac,
සොහොනේ ඉදිකර තිබූ රුක්මණී දේවියගේ නාමපුවරුව,සොහොනේ ඉදිකර තිබූ රුක්මණී ේදවියගේ නාමපුවරුව,reversal,asr_sinhala/data/65/65c6a64cd2.flac,
ආකර්ශනීය සරල ක්‍රම වලට,ආකර්ශනීය සරල ්‍රම වලට,omission,asr_sinhala/data/cc/ccf8fc021a.flac,
යළි උපතක් නැද්ද,යළි උපතක නැද්ද,omission,asr_sinhala/data/b9/b96f20c5d8.flac,
නමුත් අද ගඳ කියන්නේ දුගඳටයි!,නමුත් අදග ඳ කියන්නේ දුගඳටයි!,reversal,asr_sinhala/data/4e/4e30fce020.flac,
අහිංසක චරිතයක් වූ,අහිංසක ජරිතයක් වූ,substitution,asr_sinhala/data/0a/0a7ad3d9c4.flac,
නෙමේ කියලයි.,නමේ කියලයි.,omission,asr_sinhala/data/a2/a2da65e6fc.flac,
උපසිරස හදන විදිය ගැන කියල දුන්න,උපසිලශ හදන විදිය ගැන තියල දුන්න,substitution,asr_sinhala/data/31/31333b0b09.flac,
අටපට්ටම් කූඩුවට පැටව් හතරක් වත් යෙදීමට,අටපට්ටම් කූඩවට පැටව් හතරක් වත් යෙදීමට,omission,asr_sinhala/data/c3/c31d35eb0f.flac,
පූජා පැවැත්වූවාහු ය,පූජාපැවැත්වූවාහු ය,omission,asr_sinhala/data/ab/ab159528b7.flac,
සරාගී සිත හඳුනා ගැනීම,සරාී සිත හඳුනා ගැනීම,omission,asr_sinhala/data/84/84e2b83443.flac,
ඒ සඳහා වෙන් කොට ඇති අදාළ ස්ථානවලය.,ඒ සඳහා වෙන් තොඩ ඇති අදාල ශ්ථානවලය.,substitution,asr_sinhala/data/a2/a24b4220f5.flac,
අනුන්ගේ දේවල් හොරෙන් හෝ අසාධාරණ ලෙස,අනුන්ගේ දේවල් හොරෙන් ෝහ අසාධාරණ ලෙස,reversal,asr_sinhala/data/3d/3df0cbac5f.flac,
හොඳින් දැනගෙන ජීවත් වෙමු.,හොඳින්ද ැනගෙන ජීවත් වෙමු.,reversal,asr_sinhala/data/19/19f869993d.flac,
අප හා බෙදා ගත්තාට,අබ හා බෙදා ගත්තාට,substitution,asr_sinhala/data/d6/d6efbfb069.flac,
එය ම ඔහුගේ හැගුම්ල බස රස කොට ගෙන,එය  මඔහුගේ හැගුම්ල බස රස කොට ගෙන,reversal,asr_sinhala/data/49/49f6addb57.flac,
සෙට් වුණේ කෑමෙන් පස්සෙ,සෙට් වුණේ කෑමෙන් පඉස්සෙ,insertion,asr_sinhala/data/21/2114917af4.flac,
එහෙත් අහසේ පියාඹන විට,එහෙත් අහසේ පයාඹන විට,omission,asr_sinhala/data/f4/f4b532550d.flac,
සාලිය ජයවේවා මහින්ද ගොඩක් හොද වැඩක්.,සාලිය ජයවේවා මහින්ද ගොඩක් හොද වැක්.,omission,asr_sinhala/data/35/35e6472aa9.flac,
දරණ බව පැහැදිලිය,දරණ බ වපැහැදිලිය,reversal,asr_sinhala/data/bd/bd066e166d.flac,
සමාජය බඳුන්වීමද,ශමාජය බඳුන්වීමද,substitution,asr_sinhala/data/95/956f9f4c21.flac,
මෙම පදනම බිහිවූයේ 1994 ජනවාරි 12 වැනිදා ය.,මෙම පදනම බිහිවූයේ 1994 ජනවාලි 12 වැනිදා ය.,substitution,asr_sinhala/data/bf/bf4a5c8eaa.flac,
කියල හිතනවා.,කිය ලහිතනවා.,reversal,asr_sinhala/data/e0/e05abe2ab2.flac,
මීට පෙර පැවති සමුළුවල අනුගමනය කරන ලද ක්‍රම ගැන,මීට පෙර පැවති සමුළුවල අනුගමනය කරන ලද ක්‍රමගැන,omission,asr_sinhala/data/20/2047b03691.flac,
මේකට රජය අහුවෙලා නෑ,මේතට රජය අහුවෙලා නෑ,substitution,asr_sinhala/data/7e/7ed245016f.flac,
අහල තියන විදිහට නං,අහල තියන විදිහට ං,omission,asr_sinhala/data/fa/facbcc34be.flac,
ඉන්දියාවෙ මොන ආණ්ඩුවක් ආවත්,ඉන්දියාවෙ මොන ආණ්ඩුවක් වත්,omission,asr_sinhala/data/30/306d882a69.flac,
එහෙම බේරිලා,එහෙම බේරලිා,reversal,asr_sinhala/data/3e/3e23c5615a.flac,
එවැනි ඇප් අතර වඩාත් ජනප්‍රියතම,එවැනි ඇප් අතර වඩාත් ජනඉප්‍රියතම,insertion,asr_sinhala/data/71/7109b7a11b.flac,
පිහිටා ඇත්තේ ද හවායි දූපත් සමූහයේය,පිහිටා ඇත්තේ ද වහායි දූපත් සමූහයේය,reversal,asr_sinhala/data/98/987da1d3bf.flac,
මෙච්චර කෑම බීම තිබෙන,මෙජ්චර තෑම බීම තිබෙන,substitution,asr_sinhala/data/f2/f2d29ccede.flac,
ලොව පහළ වූ දිනය අදයි.,ලොව පහළ වූ දිනය අයි.,omission,asr_sinhala/data/0d/0dac02a9ea.flac,
ජීවත් වෙන එකේ වරදක් නෑනෙ,ජීවත් වෙන එකේ වලදත් නෑනෙ,substitution,asr_sinhala/data/d5/d583fbd61b.flac,
තාත්තගෙන් මෙලෝ දෙයක් නෑ කියලා.,තාත්තගෙන් මෙලෝ දෙයක් නෑ ියලා.,omission,asr_sinhala/data/0a/0ad23e080c.flac,
ඇයට සුභ උපන් දිනයක් වේවා,ඇයට ශුභ උපන් දිනයක් වේවා,substitution,asr_sinhala/data/a2/a2fcc569bf.flac,
අනිවාර්යයෙන්ම විඳීමට සිදුවේ.,අනිවාර්යයෙන්ම විඳීමට ශිදුවේ.,substitution,asr_sinhala/data/c1/c1b920f6f7.flac,
සැලකුම් කිරීමට කැමති අයට,සලකුම් කිරීමට කැමති අයට,omission,asr_sinhala/data/28/2880bb7ba9.flac,
අමතක කළ නොහැකි සිදුවීම් පෙළකින්,අමතත කළ නොහැති ශිදුවීම් පෙළතින්,substitution,asr_sinhala/data/81/8135a78989.flac,
අර ඇනෝ කියන,අර ඇනෝ කින,omission,asr_sinhala/data/7a/7afe4734ba.flac,
සිතක් පහලවීමට ඉඩක් නොමැත.,සිතක් බහලවීමඩ ඉඩක් නොමැත.,substitution,asr_sinhala/data/00/00723e0d9b.flac,
ඉතින් එදා ඉදලා බෲස් කරන්නේ,ඉතින් එදා ඉදලා බෲස් තරන්නේ,substitution,asr_sinhala/data/e5/e5cd380cc7.flac,
